75	evil toons	fred olen ray	fantasy/thriller	1h 30m	29%	1991	n/a	TRUE	n/a
76	gor	fritz kiersch	fantasy/adventure	1h 35m	3%	1987	n/a	TRUE	n/a
77	solarbabies	alan johnson	drama/sci-fi	1h 34m	43%	1986	n/a	TRUE	n/a
78	sorceress	jack hill	fantasy/action	1h 23m	12%	1982	n/a	FALSE	n/a
79	krull	peter yates	fantasy/sci-fi	2h 1m	32%	1983	n/a	FALSE	n/a
80	zarkorr! the invader	aaron osborne, michael deak	sci-fi/kaiju	1h 20m	17%	1996	n/a	TRUE	n/a
81	yor, the hunter from the future	antonio margheriti	fantasy/sci-fi	1h 38m	17%	1983	n/a	TRUE	n/a
82	puppet master	david schmoeller	drama/sci-fi/horror	1h 30m	50%	1989	n/a	TRUE	n/a
83	superman iii	richard lester	sci-fi/fantasy/super hero	2h 5m	26%	1983	n/a	TRUE	n/a
84	castle freak	stuart gordon	drama/mystery/horror	1h 35m	63%	1995	n/a	FALSE	n/a
85	starcrash	luigi cozzi	fantasy/sci-fi	1h 34m	33%	1978	n/a	TRUE	n/a
86	basket case	frank henenlotter	slasher/cult	1h 31m	74%	1982	n/a	TRUE	n/a
87	robot wars	albert band	thriller/action/sci-fi	1h 12m	25%	1993	n/a	FALSE	n/a
88	robot jox	stuart gordon	cult/indie	1h 25m	41%	1989	n/a	TRUE	n/a
89	freaked	alex winter, tom stern	sci-fi/indie	1h 26m	47%	1993	n/a	TRUE	n/a
90	body melt	philip brophy	sci-fi/thriller	1h 21m	38%	1993	n/a	FALSE	n/a
91	the wicker man	robin hardy	thriller/mystery	1h 42m	15%	2006	n/a	TRUE	n/a
92	jury duty	john fortenberry	comedy/slapstick	1h 28m	26%	1995	n/a	TRUE	n/a
93	big bully	steve miner	farce/comedy-drama	1h 31m	19%	1996	n/a	TRUE	n/a
94	endgame - bronx lotta finale	joe d'amato	action/adventure/sci-fi	1h 38m	62%	1983	n/a	FALSE	n/a
95	the stupids	john landis	adventure/comedy 	1h 34m	20%	1996	n/a	TRUE	n/a
96	warriors of the lost world	david worth	drama/action/sci-fi	1h 32m	16%	1983	n/a	TRUE	n/a
97	werewolf	tony zarindast 	indie/horror	1h 39m	13%	1996	n/a	TRUE	n/a
98	michael jackson's ghosts	stan winston	short/horror	40 m	87%	1996	n/a	FALSE	n/a
99	captain eo	francis ford coppola	short/adventure	17 m	64%	1986	n/a	FALSE	n/a
100	rhinestone	bob clark	musical/comedy	1h 51m	15%	1984	n/a	FALSE	n/a
101	hercules in new york	arthur allan seidelman	fantasy/action	1h 32m	17%	1969	n/a	TRUE	n/a
102	old dogs	walt becker	farce/buddy	1h 28m	5%	2009	n/a	TRUE	n/a
103	future war	anthony doublin	indie/action/adventure/sci-fi	1h 30m	17%	1997	n/a	TRUE	n/a
104	the visitor	giulio paradisi	thriller/action/sci-fi	1h 48m	88%	1979	n/a	FALSE	n/a
105	schizopolis	steven soderbergh	indie/comedy	1h 36m	59%	1996	n/a	FALSE	n/a
106	the lawnmower man	brett leonard	sci-fi/action	1h 48m	36%	1992	n/a	TRUE	n/a
107	the flintstones in viva rock vegas	brian levant	fantasy/comedy	1h 31m	25%	2000	n/a	TRUE	n/a
108	lawnmower man 2: beyond cyberspace	farhad mann	horror/sci-fi 	1h 32m	11%	1996	n/a	TRUE	n/a
109	the langoliers	tom holland	horror/sci-fi	3h 0m	46%	1995	n/a	FALSE	n/a
110	nukie	sias odendal	sci-fi/adventure	1h 35m	25%	1987	n/a	TRUE	n/a
111	dolly dearest	maria lease	slasher/horror	1h 34m	34%	1991	n/a	FALSE	n/a
112	tarzan, the ape man 	john derek	action/adventure	1h 55m	11%	1981	n/a	FALSE	n/a
113	silent night deadly night	charles e. sellier jr.	thriller/horror/holiday	1h 36m	24%	1984	n/a	FALSE	n/a
